date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:56	220671/220671	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Feb%202019%2022:36:30%20GMT	https://designreset.com/preview-equation/default-light/index.html	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/index.html	(from )
16:31:58	72/72	---M--	200	added ('OK')	text/plain	date:Tue,%2030%20Jul%202019%2006:25:10%20GMT	https://designreset.com/robots.txt		(from )
16:31:58	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Fri,%2001%20Dec%202017%2023:12:52%20GMT	https://designreset.com/preview-equation/default-light/assets/img/favicon.ico	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/img/favicon.ico	(from https://designreset.com/preview-equation/default-light/index.html)
16:31:58	658/658	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Feb%202019%2017:11:36%20GMT	https://designreset.com/preview-equation/default-light/assets/css/loader.css	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/loader.css	(from https://designreset.com/preview-equation/default-light/index.html)
16:32:00	158/158	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Sep%202018%2001:04:26%20GMT	https://designreset.com/preview-equation/default-light/assets/css/plugins.css	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/plugins.css	(from https://designreset.com/preview-equation/default-light/index.html)
16:32:01	5034/5034	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Feb%202019%2020:08:10%20GMT	https://designreset.com/preview-equation/default-light/assets/css/support-chat.css	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/support-chat.css	(from https://designreset.com/preview-equation/default-light/index.html)
16:32:01	155758/155758	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2014:01:40%20GMT	https://designreset.com/preview-equation/default-light/bootstrap/css/bootstrap.min.css	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/bootstrap/css/bootstrap.min.css	(from https://designreset.com/preview-equation/default-light/index.html)
16:32:02	6635/6635	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Jun%202016%2014:57:04%20GMT	https://designreset.com/preview-equation/default-light/plugins/maps/vector/jvector/jquery-jvectormap-2.0.3.css	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/maps/vector/jvector/jquery-jvectormap-2.0.3.css	(from https://designreset.com/preview-equation/default-light/index.html)
16:32:03	13895/13895	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2020:40:04%20GMT	https://designreset.com/preview-equation/default-light/plugins/charts/chartist/chartist.css	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/charts/chartist/chartist.css	(from https://designreset.com/preview-equation/default-light/index.html)
16:32:04	2243/2243	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Nov%202018%2017:39:14%20GMT	https://designreset.com/preview-equation/default-light/assets/img/logo-3.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/img/logo-3.png	(from https://designreset.com/preview-equation/default-light/index.html)
16:32:04	34667/34667	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Feb%202019%2020:05:12%20GMT	https://designreset.com/preview-equation/default-light/assets/css/default-dashboard/style.css	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/default-dashboard/style.css	(from https://designreset.com/preview-equation/default-light/index.html)
16:32:04	1842/1842	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Sep%202017%2000:15:14%20GMT	https://designreset.com/preview-equation/default-light/assets/img/ca.svg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/img/ca.svg	(from https://designreset.com/preview-equation/default-light/index.html)
